deal_id,dealname,amount,data_consegna,pipeline_id,dealstage_id,dealtype,description,hs_forecast_probability,hs_deal_stage_probability,art14_trat,campione,pipeline,dealstage
160739012805,26_GOLDEN POINT_ss26,10000.0,2026-09-07,default,1895821532,newbusiness,,0.9,0.9,true,,Pipeline delle vendite,Preventivo/negoziazione
160739017966,25_ERNST & YOUNG_Natale,300000.0,2026-10-05,default,presentationscheduled,newbusiness,,0.9,0.9,false,,Pipeline delle vendite,Presentazione pianificata
178307771620,25_Loro Piana_debranding,15000.0,2026-10-12,default,1895821532,,,0.6,0.6,,,Pipeline delle vendite,Preventivo/negoziazione
180580849891,25_DE'LONGHI Group_zaino,20000.0,2026-04-06,default,1818386657,,,0.6,0.6,false,,Pipeline delle vendite,Lead/Coltivazione
180581207237,25_RANA_budget,97950.0,2026-05-30,default,presentationscheduled,,,0.9,0.9,true,,Pipeline delle vendite,Presentazione pianificata
185330698460,25_IKEA_tasca cintura,130000.0,2026-05-29,default,1818386657,,,0.9,0.9,,,Pipeline delle vendite,Lead/Coltivazione
196071746788,25_Belmond_LuxuryTrainsServiziSrl,57822.0,2026-03-28,default,closedwon,,,1,1,false,,Pipeline delle vendite,Chiusa/conseguita
222498967764,25_TECNOIMP,2550.0,2026-02-27,default,closedwon,,"Ciao a tutti, 
in allegato ACCORDO DI FORNITURA TECNOIMP  QUID per 
50 ZAINI LEONE CON SPALLACCI PREMIUM+ logo ricamato. 
Consegna Settembre 2025, anche prima. Meglio inizio settembre. 
Importo Totale 2550,00 euro + Iva 
Accettano 3% 
 
A seguire per operatività: 
@Mara Giacomazzi sei in copia su cliente per completare Avz e mandare conferma ordine 
@Giulia Pasquali + @Vivian Okoh sbloccare taglio e Kit + rettificare scheda costo mettendo il COSTO degli SPALLACCI PREMIUM. 
@Davide Spagnolo per acquisti. 
@Alessandro Ramponie @Angelo Veltri per programmazione e produzione 
@Silvia Avesani hag tag QUID  singolo + pack a riempimento collo 
@Franco Maestrello spedizione ad indirizzo in accotdo con costi con extra da addebitarsi. 
 
Grazie a tutti per la collaborazione. 


",1,1,,,Pipeline delle vendite,Chiusa/conseguita
222500507894,25_ZUCCATO_coprimaterasso,45000.0,2026-06-01,default,1818386657,,,0.9,0.9,true,,Pipeline delle vendite,Lead/Coltivazione
222502543589,25_MOLESKINE_astuccio portachiavi,24000.0,2026-05-29,default,1895821532,,,0.9,0.9,false,,Pipeline delle vendite,Preventivo/negoziazione
222549523697,25_LIDL_budget_ART14,120000.0,2026-04-06,default,1818386657,,,0.9,0.9,,,Pipeline delle vendite,Lead/Coltivazione
222551444716,25_KPMG_KIT NASCITA,16733.0,2026-09-01,default,1818386657,,"45.650 BUDGET INIZIALE

-4.350 ASTUCCIO UMBERTO
-32.700 SHOPPER",1,1,true,,Pipeline delle vendite,Lead/Coltivazione
222987464953,25_Costa Crociere,70000.0,2026-12-31,default,1818386657,,,0.1,0.1000000000000000055511151231257827021181583404541015625,,,Pipeline delle vendite,Lead/Coltivazione
236109395152,25_AIA/NEGRONI_grembiuli pouch,168730.0,2026-02-27,default,closedwon,,"Ciao a tutti, 
In allegato e sotto ACCORDO DI FORNITURA AGRICOLA TRE VALLI_ AIA _ NEGRONI _ QUID per :
-300 FELPE per fine Febbraio 2026
-3000 GREMBIULI REMI per AIA LA CARNE AL FUOCO   per fine Aprile 2026
-1500 SET GREMBIULI LUI E LEI NEGRONI per Maggio-Giugno 2026 ( che significa 1500 + 1500 = 3000 pezzi ) 
-3000 POUCH MONEY per Giugno 2026 
-2000 SET GREMBIULI e LEI AIA LA BOTTEGA per Luglio 2026 ( che significa 2000 + 2000 = 3000 pezzi ) 

NB: le consegne sono intenzionalmente VAGHE ED OPEN, possiamo anticipare di poco e tardare di poco, ma non ci sono giorni precisi. 
Non consegnare gli articoli in TRANCE, ma A SALDO! 

Importo totale fornitura 189.000 euro + Iva 
Accettano 3% 
@Giulia Pasquali segue la parte principale dei prodotti, 
@Martina Cagalli le felpe. 

Per Direzione, tutta la commessa è al 1,45 o + di mark up, in importo doppio rispetto alla convenzione art 14. 

A seguire per operatività:
@Mara Giacomazzi + @Manuele Zanoni + @Franco Maestrello è il terzo anno che sbagliamo gli inserimenti ordini, i ddi e le fatture. 
-CHIARIRE la dinamica SET, che in questo caso diventa articolo singolo anche in termini di packaging. 
-CHIARIRE LE VARIE INTESTAZIONI AZIENDALI 
@Mara Giacomazzi visto il super margine e il super extra budget non mi sono sentito di chiedere anche il 30% di anticipo. 
Ti chiederei di giocare di sponda: non appena ci arrivano gli ordini, da sollecitare e che, di solito, arrivano entro 1-2 mesi. Ricordiamoci di attivare la trattativa sui pagamenti. @Romina Masiero ci puoi aiutare ? 

@Mara Giacomazzisollecitare PO e mandare conferma, quindi MAGO, CRM e AVZ, definire logistica a carico loro,

@Giulia Pasquali sollecitare conferma logo 1 colore su REMI GREMBIULE + @Martina Cagalli sollecitare risposte su personalizzazione FELPA, colore e taglie. Quindi sbloccare a seguire.
SOLLECITARE ARRIVI FLYER ENTRO GENNAIO 26 da cliente. 
@Matteo Bonetti c’e’ uno stock importante ad un prezzaccio, da comprare con urgenza ,mail a parte e a disposizione @Giulia Pasquali per raccordo. + acquisti vari… le quantità sono altissime rispetto ai precedenti ordini, ammazzare fornitore di NASTRO e il tagliatore,  negoziare ulteriormente le stampe ( se possibile).

@Giulia Pasquali + @Martina Cagalli + @Isabella Delledonne + @Vivian Okoh per sblocco taglio e kit 
@Angelo Veltri + @Alessandro Ramponi per programmazione e produzione (tutti gli articoli sono di facile esternalizzazione ad esclusione delle FELPE) 
@Silvia Avesani+ @Aziza Atmaoui tutti i pack sono singoli + FLYER in arrivo da cliente, 
NB: per FELPE, Taglia bene in vista e colli suddivisi per taglia. 
@Franco Maestrello Gesù- Maria e @Mara Giacomazzi … mi raccomando i ddt e consegne a SALDO per ARTICOLO. Non mandare più articoli nelle stesse spedizioni. 
Ritirano loro, da concordare di volta in volta, 
No costi extra di logistica, 

Grazie a tutti per la collaborazione. 


Marco Penazzi

",1,1,,,Pipeline delle vendite,Chiusa/conseguita
242673671371,26_ITS digital academy_felpe zaino_RIORDINO,33400.0,2026-07-30,default,closedwon,,"Ciao a tutti, 
In allegato ACCORDO DI FORNITURA ITS DIGITAL ACADEMY- QUID per 
500 FELPE + 
500 SACCHE 

Per Fine Luglio 2026 
Accettano 3% 
IMPORTO TOTALE: 33.400,00 + Iva 

NB: Stesso prodotto anno precedente , con aumento massimo di prezzo. 
NB: @Matteo Bonetti + @Alessandro Ramponi +@Alessandra Bertoldi CI SONO DECINE DI ROTOLI AVANZATI DEL TESSUTO delle FELPE, per errori di acquisto su anno scorso. MI RACCOMANDO! 

A seguire per operatività: 
@Mara Giacomazzi sei in copia su cliente per Po, conferma ordine CRM MAGO AVZ 
@Alessandra Bertoldi + @Isabella Delledonne MIRACCOMANDO fate un check sulle materie prime in casa e sui consumi prima di sbloccare ogni eventuale. 
@Matteo Bonetti per acquisti 
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione 
@Silvia Avesani no card non hagtag, pack a riempimento colli suddivisi per taglia. 
@Franco Maestrello spedizioni come extra con ricarico. 

Grazie a tutti per la collaborazione 
Marco Penazzi
",1,1,false,,Pipeline delle vendite,Chiusa/conseguita
247884470499,25_Pespow DIOR S.p.A._shopper welcome kit_giu26,8000.0,2026-06-15,default,presentationscheduled,,,0.9,0.59999999999999997779553950749686919152736663818359375,,,Pipeline delle vendite,Presentazione pianificata
250511483090,25_ISA S.p.a._twilly GUCCI,5000.0,2026-04-30,default,1895821532,,,0.9,0.9,,,Pipeline delle vendite,Preventivo/negoziazione
